Geography,Product,Time,Dollar Sales,Unit Sales,SKU
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 01-31-16,28921840.49,4968512.07,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 02-28-16,30276220.8,5139634.753,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 03-27-16,31535167.82,5366848,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 04-24-16,31693487.95,5420033.091,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 05-22-16,31390945.73,5380230.139,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 06-19-16,31286284.72,5351033.111,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 07-17-16,31058485.91,5306152.2,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 08-14-16,30747716.96,5259324.21,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 09-11-16,30396088.49,5198175.061,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 10-09-16,30123052.65,5131669.082,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 11-06-16,31130559.68,5341678,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 12-04-16,31098708.85,5312354.03,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 01-01-17,31461500.06,5337813.19,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 01-29-17,30432879.16,5164424.35,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 02-26-17,31402310.18,5322135.07,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 03-26-17,32170165.49,5424725.07,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 04-23-17,32622314.64,5497264.99,Cigarettes Total
