SKU Legend,Unit Sales,SKU
JUUL-ELECTRONIC SMOKING DEVICES,–,JUUL Total
CIGARETTES,"75,083,502,411",Cigarettes Total
ELECTRONIC SMOKING DEVICES,"939,305,632",E-Cigs Total
JUUL ELCTRNC SMKNG ACSRY MIINT DISPOSABLE 4 CT - 0819913011401,"27,211,643",JUUL Refill Kits
JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,"7,979,019",JUUL Refill Kits
JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,"7,395,437",JUUL Refill Kits
JUUL ELCTRNC SMKNG ACSRY MANGO DISPOSABLE 4 CT - 0819913012441,"6,871,591",JUUL Refill Kits
JUUL ELCTRNC SMKNG ACSRY TABAAC DISPOSABLE 4 CT - 0819913011421,"9,532,052",JUUL Refill Kits
JUUL ELECTRONIC SMKNG DVC ELECTRONIC CIGRTT KT RECHARGEABLE 3 CT - 0819913011371,"5,596,081",JUUL Devices
JUUL ELECTRONIC SMKNG DVC ELECTRONIC CIGRTT KT RECHARGEABLE 2 CT - 0819913011581,"1,533,344",JUUL Devices
JUUL ELCTRNC SMKNG ACSRY ASSORTED DISPOSABLE 4 CT - 0819913011411,131,JUUL Refill Kits
JUUL ELCTRNC SMKNG ACSRY 1 CT - 0819913011561,"35,395",JUUL Accessories
JUUL ELCTRNC SMKNG ACSRY COOL CUCUMBER DISPOSABLE 4 CT - 0819913012471,"215,610",JUUL Refill Kits
JUUL ELCTRNC SMKNG ACSRY CLASSIC MENTHOL DISPOSABLE 4 CT - 0819913012591,"77,402",JUUL Refill Kits
JUUL ELCTRNC SMKNG ACSRY CLASSIC TOBACCO DISPOSABLE 4 CT - 0819913014141,"33,324",JUUL Refill Kits
